"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000061316,148.171289449802,130.774426624723,134.947001052505,122.932453218362,123.907616249858,110.460174729543,169.084823665793,211.954287408714,176.392132147544,199.630249154252,181.338212443052,183.308771992781
ENSRNOG00000056940,265.379956120706,212.960197297783,227.16078510505,221.051113876469,209.967462908624,218.157748820754,228.899091795509,236.99186469685,236.062737907026,238.308060527158,245.606015568707,216.687833705596
ENSRNOG00000058050,173.664174450723,151.566266545269,173.479037831019,145.520581178747,169.69619853445,153.565514848297,155.410651485557,164.678048992701,158.802817697188,159.633876029996,160.6919007769,150.582233290894
ENSRNOG00000018960,204.822145007405,208.453811392257,234.417369123911,192.306892341976,212.287830254126,193.820552721152,123.927302962798,107.223933630291,107.82291340372,102.452248079824,105.426068681389,101.843783782408
ENSRNOG00000014160,264.94042362069,237.589157890361,218.037009876657,216.931266638412,236.625905522513,228.287284494642,201.632628705577,215.720101878881,201.216767435635,197.168933885067,209.508559597085,205.896106986415
ENSRNOG00000048297,214.491860007755,222.329910566698,208.701053829,162.804997752207,226.93192639019,215.833656220251,264.517444480555,255.71915827822,261.843766179416,229.20998444285,232.842026794622,224.417721681195
ENSRNOG00000053450,222.061586396918,216.841935652048,194.866864412925,196.237321316214,194.188964959203,201.143636952924,111.031002852695,118.368708886595,101.294491728292,113.879783258183,115.458115998564,114.342109145552
ENSRNOG00000027487,201.940765285079,228.219444621445,203.778458822053,205.99236190288,207.028330937653,218.070047213187,206.954911290699,224.625744206978,214.855763037803,207.233955253698,196.654998971954,208.907751652233
ENSRNOG00000019453,215.71278361891,263.378178220995,266.329364341358,264.759378252644,259.881142696332,285.030224589929,224.190918739439,168.443863462867,238.5992584306,218.485682198544,250.129394046541,238.17089898843
ENSRNOG00000055247,265.819488620722,219.742084997188,191.981205270922,212.906128532264,237.863434773448,192.022669766046,199.176190589367,225.338195593226,191.652837592652,203.629886466677,182.099573176945,208.606587185651
ENSRNOG00000060288,310.602966677897,247.940460168401,218.334063023628,245.201942513359,271.225160829902,217.499986764008,227.056763208351,255.261153815632,216.976460524725,233.561238222302,210.314706256501,236.414106266703
ENSRNOG00000011346,175.715326117464,189.892855583357,180.523441030615,178.19523168748,180.885525511653,203.336177142077,120.365467694294,117.503589346151,111.565320733583,99.5953642852343,103.589845734942,117.654918277952
ENSRNOG00000015852,136.792281393835,145.989056266152,141.864095760542,136.949404740949,145.564378141219,146.59323704679,176.904485002395,173.990806398654,161.173009006101,159.765732205131,159.258751160161,145.161272892422
ENSRNOG00000020683,186.605964728969,175.124402764257,179.717153917408,176.064276219519,174.955697850923,176.762590049539,168.429773501471,173.990806398654,161.380920524427,175.017096462402,162.841625202009,156.856493011348
ENSRNOG00000020716,279.982202510123,278.637425544658,293.361200715712,291.419998885131,271.276724548691,295.90522392813,138.584050389518,135.620210310738,140.506604084524,159.765732205131,153.391794916634,144.759720270312
ENSRNOG00000020235,216.787196396727,222.151439837767,219.607147939218,239.424685466887,214.298815286896,210.133051728452,172.114430675786,174.805036554366,178.720741152792,201.871804131545,222.451692073262,200.97708736558
ENSRNOG00000020762,214.833718618878,205.687515093815,196.182385492368,200.404523120227,205.739237967929,197.854826669194,146.894999349362,162.286247910297,148.116165655245,143.767182955429,133.865131388561,147.520394547312
ENSRNOG00000051284,264.452054176228,228.44253303261,256.484174327465,223.845033267796,218.630167665168,208.247467165781,198.111734072342,204.67710539204,225.459250472414,191.455166295887,195.714494535968,202.382521542961
ENSRNOG00000040273,178.401358062006,176.418315549012,174.92186740202,159.348114437515,176.09009966428,149.925898134303,165.031700774047,186.662263196918,155.434651100311,141.613532094892,159.39310893673,198.868936099507
ENSRNOG00000020763,161.84563389474,149.870794620417,170.126580886633,192.164828644112,151.906715552261,185.050391964539,181.776420599545,158.418654670667,200.509868273328,199.893961504522,205.656970002098,192.845646767871
ENSRNOG00000020889,194.371038895916,216.038817371855,215.533276209331,214.800311170451,213.937869255373,227.497970026547,153.445500992589,134.297086307706,158.303830053206,144.206703539212,155.810234894882,151.686503001694
ENSRNOG00000021082,147.536409172001,184.851057491036,165.373730535098,194.911393469483,169.335252502927,175.052408702,125.523987738335,107.325712399755,119.258046911635,126.406119895999,128.535606251311,128.396450919369
ENSRNOG00000013009,289.16354806601,321.068841348176,302.527412107958,310.551243530824,311.083915453764,290.073067024982,173.506412274972,161.624685908782,166.57870848257,168.248479472143,181.203854666482,181.652367426581
ENSRNOG00000016498,188.461768617925,141.884229500723,149.714786073345,140.832479149233,175.161952726079,145.847773382478,171.745964958354,213.837194643797,176.142638325553,183.851460196441,183.129649463976,186.721969280708
