"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000015036,1649.02826617073,1776.00684128184,1747.18173815526,1794.1697948911,1577.69510378565,1554.29174009078,1308.38082196403,1202.92327629464,1203.39186806929,1294.91554394156,1374.65919800618,1316.03852488465
ENSRNOG00000016411,652.94994724583,630.938644455886,670.194335730254,611.584219304756,637.172873075113,619.392603435808,573.455478229242,513.372113176256,616.291322621109,539.555468652046,507.558893953348,596.807584609576
ENSRNOG00000039783,787.886424750708,623.889050663083,721.329913173106,645.205961132583,686.983425425243,577.076577785149,648.58154395,579.986317790423,740.539245972562,638.052031477823,676.446619100977,727.011022328435
ENSRNOG00000058909,891.518420865566,811.417169088095,749.93188761002,755.778872636772,777.529315618648,722.222738307098,590.486782501632,543.549518322322,623.360314244184,561.399641666063,609.402088592889,640.225461875116
ENSRNOG00000037897,546.485408353092,551.072993258938,673.377048019228,616.130257636406,588.702977413496,601.282221473401,598.593028285125,489.606770506419,690.349405448732,606.142837095175,656.830383721857,645.79700450688
ENSRNOG00000020433,1129.69619892973,954.10451686901,989.568904887849,966.790818530848,974.915231142766,994.185423369673,772.508846912798,753.010225879169,754.178241574729,744.459964811694,789.531081046817,690.218763327693
ENSRNOG00000017510,621.791976689148,708.127234718858,730.962922367734,771.83207049541,692.964816804762,810.49440632241,398.802728166705,339.025081084478,418.234810264025,432.136637975474,455.025003314746,437.240611398992
ENSRNOG00000019106,660.81269530167,760.642246707018,754.642301797702,729.497088531922,799.959533291843,825.754486038917,665.285323140228,526.094459359252,665.483187856975,555.861682310397,551.314743189422,711.802216766055
ENSRNOG00000017418,719.026333081552,831.539743775147,763.1295345683,730.444179851016,830.949328284005,827.990877031853,784.872918764389,771.075957459024,760.207675606175,746.437807438718,722.755266091867,839.194786130151
ENSRNOG00000014214,750.477325304911,818.912939703227,769.66470380166,785.186058094631,825.122628060853,832.069001783678,794.084561700176,645.633624094683,734.010824297134,694.969947077725,694.002701906034,785.085570300956
ENSRNOG00000018761,652.412740856921,614.430102029701,639.979787066926,638.197485371289,656.767086214916,670.610342254429,681.907221059916,736.929180303862,664.901035605663,702.178084651767,733.503888217412,672.048507177259
ENSRNOG00000020533,905.485786977182,969.943794061701,933.171243127226,998.376314022623,934.231457018281,992.5629436297,755.027195652436,813.873930018622,778.088066182187,746.525711555474,717.157025401479,843.561670895587
ENSRNOG00000002116,1002.47595864736,1074.52764121569,1136.05854250837,1008.51019113693,994.509444282569,998.044294102583,986.833072552127,847.91892840432,1081.76362984874,971.032825751846,978.97554600955,1020.8973476345
ENSRNOG00000037607,1000.22945920283,1076.66928996287,1133.89429815186,1029.10942732721,993.014096437689,992.080584788086,1024.70316017703,885.424404951792,1080.51616073878,969.318695475092,978.079827499088,1019.54210753488
ENSRNOG00000020918,683.277689746926,573.649540468802,616.003354489987,605.996380522104,621.806884876005,553.440994546076,515.688241863035,538.969473696444,506.846699374449,475.868936061885,469.759572811847,477.044515065551
ENSRNOG00000020660,1140.34265281901,1097.99654207021,1085.34732670404,1157.77178302609,1055.14837757838,1117.66928682279,901.062441661125,788.123901344238,944.833103879417,953.979427101064,1026.62777076613,989.124496410117
ENSRNOG00000020982,660.519673634992,614.742425805332,671.934218448226,683.89464151756,668.265795504853,720.819512586039,708.805218432417,599.680509681701,750.768492674187,651.501361341584,631.526335801302,741.968857501997
ENSRNOG00000020075,1239.97001948928,1084.92356117597,1106.94733410522,1063.01529655077,1188.02808089752,1052.72624642007,951.828829396133,1060.68744596875,951.943677806157,909.895512547626,922.2765642973,988.572361554717
