"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"649","GO:0071944",0.000640139149660131,0.999637561395529,152,219,"cell periphery","CC"
"188","GO:0005886",0.00193360440419372,0.998860941278321,141,205,"plasma membrane","CC"
"258","GO:0016604",0.0100963583719308,0.995522838815353,44,59,"nuclear body","CC"
"271","GO:0030016",0.0162366601600437,0.99718330830935,14,16,"myofibril","CC"
"537","GO:0043292",0.0162366601600437,0.99718330830935,14,16,"contractile muscle fiber","CC"
"195","GO:0005911",0.0218343817722336,0.993303870775227,21,26,"cell-cell junction","CC"
"616","GO:0070161",0.0255273796412064,0.990689210751991,25,32,"anchoring junction","CC"
"237","GO:0016020",0.0272487263686805,0.97980526959711,268,425,"membrane","CC"
"275","GO:0030054",0.0333555757977748,0.97989120208995,71,103,"cell junction","CC"
"146","GO:0005774",0.0379437069956616,0.987491487965844,19,24,"vacuolar membrane","CC"
"385","GO:0031674",0.0444909044889693,0.994306344454885,9,10,"I band","CC"
"495","GO:0042470",0.0479220442920633,1,6,6,"melanosome","CC"
"589","GO:0048770",0.0479220442920633,1,6,6,"pigment granule","CC"
"138","GO:0005765",0.0513143700154163,0.982316467918091,18,23,"lysosomal membrane","CC"
"740","GO:0098852",0.0513143700154163,0.982316467918091,18,23,"lytic vacuole membrane","CC"
"238","GO:0016234",0.0515989561447215,1,6,6,"inclusion body","CC"
"272","GO:0030017",0.0539079167052375,0.988548860309571,11,13,"sarcomere","CC"
"756","GO:0099080",0.064560225475848,0.960733896291023,55,81,"supramolecular complex","CC"
"551","GO:0044297",0.0646494482744541,0.970835784000054,25,34,"cell body","CC"
"273","GO:0030018",0.0659700023736172,0.9908336521296,8,9,"Z disc","CC"
"668","GO:0097060",0.0695119735163148,0.974862420550703,17,22,"synaptic membrane","CC"
"239","GO:0016235",0.0815801359490003,1,5,5,"aggresome","CC"
"449","GO:0034451",0.0864784563514095,0.979644207132536,10,12,"centriolar satellite","CC"
"713","GO:0098590",0.105047841400327,0.93883340563913,38,55,"plasma membrane region","CC"
"516","GO:0043025",0.109756983511538,0.948604282385644,21,29,"neuronal cell body","CC"
"610","GO:0062023",0.113478779236785,0.981769791141804,7,8,"collagen-containing extracellular matrix","CC"
"757","GO:0099081",0.11783450388178,0.928688809915986,40,59,"supramolecular polymer","CC"
"766","GO:0099512",0.11783450388178,0.928688809915986,40,59,"supramolecular fiber","CC"
"339","GO:0030992",0.121983479345811,1,4,4,"intraciliary transport particle B","CC"
"36","GO:0000781",0.122013297811286,0.968937496656514,9,11,"chromosome, telomeric region","CC"
"359","GO:0031261",0.123191310979511,1,4,4,"DNA replication preinitiation complex","CC"
"64","GO:0001650",0.126541427619972,0.959587176931581,11,14,"fibrillar center","CC"
"430","GO:0032838",0.12792740134186,0.948316241924592,15,20,"plasma membrane bounded cell projection cytoplasm","CC"
"771","GO:0099568",0.12792740134186,0.948316241924592,15,20,"cytoplasmic region","CC"
"89","GO:0005604",0.130652424327353,1,4,4,"basement membrane","CC"
"484","GO:0036064",0.13226256174549,0.946141070995849,15,20,"ciliary basal body","CC"
"641","GO:0071013",0.13569159403185,0.977654926742207,6,7,"catalytic step 2 spliceosome","CC"
"602","GO:0061695",0.136968033564669,0.936547515572549,18,25,"transferase complex, transferring phosphorus-containing groups","CC"
"299","GO:0030312",0.141628032645895,0.962174202445568,9,11,"external encapsulating structure","CC"
"342","GO:0031012",0.141628032645895,0.962174202445568,9,11,"extracellular matrix","CC"
"246","GO:0016459",0.143388787093701,1,4,4,"myosin complex","CC"
"260","GO:0016607",0.147012746673749,0.930846477023893,18,25,"nuclear speck","CC"
"233","GO:0015629",0.153097503162768,0.931341769606206,16,22,"actin cytoskeleton","CC"
"175","GO:0005856",0.155083801490704,0.884763031826866,92,144,"cytoskeleton","CC"
"337","GO:0030990",0.158132924994241,0.972278834972182,6,7,"intraciliary transport particle","CC"
"507","GO:0042641",0.160875899966714,0.97159403979142,6,7,"actomyosin","CC"
"573","GO:0045202",0.164322046200894,0.891061410385071,47,71,"synapse","CC"
"145","GO:0005773",0.165779966897771,0.900717130924152,31,46,"vacuole","CC"
"164","GO:0005813",0.170835772379169,0.892806348328981,36,54,"centrosome","CC"
"166","GO:0005815",0.172995837731572,0.884694331159788,46,70,"microtubule organizing center","CC"
"256","GO:0016592",0.189566874359747,1,3,3,"mediator complex","CC"
"631","GO:0070847",0.189566874359747,1,3,3,"core mediator complex","CC"
"684","GO:0097504",0.190626497933649,1,3,3,"Gemini of coiled bodies","CC"
"99","GO:0005654",0.200697902564158,0.836173948856818,180,292,"nucleoplasm","CC"
"234","GO:0015630",0.201797477198641,0.852379962260808,67,105,"microtubule cytoskeleton","CC"
"18","GO:0000228",0.203913514887119,0.893529614545995,18,26,"nuclear chromosome","CC"
"514","GO:0043005",0.206184403944997,0.859131519904767,46,70,"neuron projection","CC"
"50","GO:0000811",0.207688837304153,1,3,3,"GINS complex","CC"
"645","GO:0071162",0.207688837304153,1,3,3,"CMG complex","CC"
"431","GO:0032839",0.207900952570818,1,3,3,"dendrite cytoplasm","CC"
"722","GO:0098686",0.209790813289488,1,3,3,"hippocampal mossy fiber to CA3 synapse","CC"
"489","GO:0036464",0.21041160796367,0.938732710841821,7,9,"cytoplasmic ribonucleoprotein granule","CC"
"49","GO:0000808",0.211112935410487,1,3,3,"origin recognition complex","CC"
"104","GO:0005664",0.211112935410487,1,3,3,"nuclear origin of replication recognition complex","CC"
"224","GO:0010494",0.21695672131369,1,3,3,"cytoplasmic stress granule","CC"
"185","GO:0005882",0.220793815239427,0.957226940229015,5,6,"intermediate filament","CC"
"780","GO:0120111",0.224712868843693,0.956088303356587,5,6,"neuron projection cytoplasm","CC"
"812","GO:1902911",0.22600870369699,0.932274923414582,7,9,"protein kinase complex","CC"
"384","GO:0031672",0.227498618517471,1,3,3,"A band","CC"
"777","GO:0120025",0.227740746507917,0.827655901384333,77,121,"plasma membrane bounded cell projection","CC"
"358","GO:0031256",0.230406205271781,0.954412261668895,5,6,"leading edge membrane","CC"
"259","GO:0016605",0.236140345297925,0.952697912289772,5,6,"PML body","CC"
"191","GO:0005901",0.23715032179926,0.92752026958036,7,9,"caveola","CC"
"566","GO:0044853",0.23715032179926,0.92752026958036,7,9,"plasma membrane raft","CC"
"513","GO:0042995",0.239990182986886,0.816843335751583,78,123,"cell projection","CC"
"192","GO:0005902",0.242142944888528,0.950874939344694,5,6,"microvillus","CC"
"475","GO:0035770",0.245681390401322,0.895920901009244,10,14,"ribonucleoprotein granule","CC"
"597","GO:0060076",0.248984862031664,0.948761555409323,5,6,"excitatory synapse","CC"
"163","GO:0005811",0.249132959168745,0.948715390509734,5,6,"lipid droplet","CC"
"74","GO:0001917",0.255445263286728,0.946731138372299,5,6,"photoreceptor inner segment","CC"
"114","GO:0005684",0.259882061685008,0.901441048498208,8,11,"U2-type spliceosomal complex","CC"
"42","GO:0000792",0.261654771631277,0.900509567444444,8,11,"heterochromatin","CC"
"200","GO:0005929",0.264737921790527,0.822147811567235,34,52,"cilium","CC"
"151","GO:0005783",0.278901835135117,0.787606184571583,64,103,"endoplasmic reticulum","CC"
"479","GO:0035869",0.279065603792732,0.908574073595971,7,9,"ciliary transition zone","CC"
"835","GO:1990234",0.279862317540505,0.793172972437198,52,83,"transferase complex","CC"
"87","GO:0005581",0.283984069426225,1,3,3,"collagen trimer","CC"
"25","GO:0000323",0.285835242447781,0.815595959325926,26,40,"lytic vacuole","CC"
"137","GO:0005764",0.285835242447781,0.815595959325926,26,40,"lysosome","CC"
"587","GO:0048471",0.286394288734985,0.810053663957073,29,45,"perinuclear region of cytoplasm","CC"
"150","GO:0005778",0.292300540094161,0.905348202636919,6,8,"peroxisomal membrane","CC"
"388","GO:0031903",0.292300540094161,0.905348202636919,6,8,"microbody membrane","CC"
"201","GO:0005930",0.292533538562623,0.868379048716231,10,14,"axoneme","CC"
"666","GO:0097014",0.292533538562623,0.868379048716231,10,14,"ciliary plasm","CC"
"196","GO:0005912",0.303123515169822,0.900142834384517,6,8,"adherens junction","CC"
"567","GO:0045111",0.303209615204636,0.900100960878129,6,8,"intermediate filament cytoskeleton","CC"
"106","GO:0005666",0.303508706711745,0.934547631427044,4,5,"RNA polymerase III complex","CC"
"296","GO:0030141",0.304446604079259,0.850652436193964,11,16,"secretory granule","CC"
"302","GO:0030424",0.312315989978016,0.794669415153498,26,40,"axon","CC"
"480","GO:0035985",0.314209192922304,1,2,2,"senescence-associated heterochromatin focus","CC"
"111","GO:0005680",0.319680240485143,1,2,2,"anaphase-promoting complex","CC"
"294","GO:0030139",0.324106184613968,0.927268076662103,4,5,"endocytic vesicle","CC"
"461","GO:0035097",0.325415544984341,0.926792690911021,4,5,"histone methyltransferase complex","CC"
"149","GO:0005777",0.326176896759988,0.849757877059367,9,13,"peroxisome","CC"
"499","GO:0042579",0.326176896759988,0.849757877059367,9,13,"microbody","CC"
"67","GO:0001725",0.326682596700227,0.926331213574402,4,5,"stress fiber","CC"
"414","GO:0032432",0.326682596700227,0.926331213574402,4,5,"actin filament bundle","CC"
"685","GO:0097517",0.326682596700227,0.926331213574402,4,5,"contractile actin filament bundle","CC"
"125","GO:0005736",0.326728754876269,1,2,2,"RNA polymerase I complex","CC"
"187","GO:0005884",0.32732146921845,0.926097985008081,4,5,"actin filament","CC"
"56","GO:0000930",0.328428387862511,1,2,2,"gamma-tubulin complex","CC"
"634","GO:0071004",0.331541999789502,1,2,2,"U2-type prespliceosome","CC"
"638","GO:0071010",0.331541999789502,1,2,2,"prespliceosome","CC"
"636","GO:0071006",0.332441892945316,1,2,2,"U2-type catalytic step 1 spliceosome","CC"
"640","GO:0071012",0.332441892945316,1,2,2,"catalytic step 1 spliceosome","CC"
"465","GO:0035145",0.333003439813102,1,2,2,"exon-exon junction complex","CC"
"643","GO:0071141",0.333419462987836,1,2,2,"SMAD protein complex","CC"
"711","GO:0098576",0.33490000237339,1,2,2,"lumenal side of membrane","CC"
"773","GO:0099617",0.33490000237339,1,2,2,"matrix side of mitochondrial inner membrane","CC"
"521","GO:0043198",0.336333877004554,0.92276893443669,4,5,"dendritic shaft","CC"
"691","GO:0097546",0.336803100346591,0.922593608131871,4,5,"ciliary base","CC"
"647","GO:0071782",0.336804911922325,1,2,2,"endoplasmic reticulum tubular network","CC"
"116","GO:0005686",0.337162843765905,1,2,2,"U2 snRNP","CC"
"558","GO:0044322",0.337162843765905,1,2,2,"endoplasmic reticulum quality control compartment","CC"
"8","GO:0000145",0.337292710122977,1,2,2,"exocyst","CC"
"690","GO:0097545",0.337836978530487,1,2,2,"axonemal doublet microtubule","CC"
"696","GO:0097649",0.337836978530487,1,2,2,"A axonemal microtubule","CC"
"799","GO:0160110",0.337836978530487,1,2,2,"axonemal microtubule doublet inner sheath","CC"
"800","GO:0160111",0.337836978530487,1,2,2,"axonemal A tubule inner sheath","CC"
"763","GO:0099243",0.338091087245182,1,2,2,"extrinsic component of synaptic membrane","CC"
"680","GO:0097440",0.340121893883332,1,2,2,"apical dendrite","CC"
"381","GO:0031528",0.343091688076108,1,2,2,"microvillus membrane","CC"
"436","GO:0033017",0.344682775217059,1,2,2,"sarcoplasmic reticulum membrane","CC"
"139","GO:0005766",0.344811616511826,1,2,2,"primary lysosome","CC"
"500","GO:0042581",0.344811616511826,1,2,2,"specific granule","CC"
"501","GO:0042582",0.344811616511826,1,2,2,"azurophil granule","CC"
"591","GO:0048787",0.344811616511826,1,2,2,"presynaptic active zone membrane","CC"
"743","GO:0098858",0.346642972955611,0.836496578203565,9,13,"actin-based cell projection","CC"
"699","GO:0097730",0.347086632031642,0.851920283723572,8,11,"non-motile cilium","CC"
"700","GO:0097731",0.347086632031642,0.851920283723572,8,11,"9+0 non-motile cilium","CC"
"282","GO:0030120",0.347674908380268,1,2,2,"vesicle coat","CC"
"814","GO:1903349",0.349493561432692,1,2,2,"omegasome membrane","CC"
"842","GO:1990462",0.349493561432692,1,2,2,"omegasome","CC"
"524","GO:0043209",0.350306974625252,1,2,2,"myelin sheath","CC"
"650","GO:0071953",0.352318174069472,1,2,2,"elastic fiber","CC"
"689","GO:0097543",0.353047978953696,1,2,2,"ciliary inversin compartment","CC"
"406","GO:0032154",0.354414666209184,1,2,2,"cleavage furrow","CC"
"278","GO:0030061",0.355187738443321,1,2,2,"mitochondrial crista","CC"
"510","GO:0042734",0.35578873820585,0.850059274793136,7,10,"presynaptic membrane","CC"
"582","GO:0045335",0.357022740035952,1,2,2,"phagocytic vesicle","CC"
"304","GO:0030426",0.357328087351164,0.814615128130819,11,16,"growth cone","CC"
"247","GO:0016460",0.357532589028054,1,2,2,"myosin II complex","CC"
"765","GO:0099503",0.358554559803669,0.787495884429938,15,23,"secretory vesicle","CC"
"784","GO:0120212",0.361024784673906,1,2,2,"sperm head-tail coupling apparatus","CC"
"204","GO:0005942",0.361043921195514,1,2,2,"phosphatidylinositol 3-kinase complex","CC"
"460","GO:0035032",0.361043921195514,1,2,2,"phosphatidylinositol 3-kinase complex, class III","CC"
"94","GO:0005635",0.361252591681135,0.779608027999054,16,25,"nuclear envelope","CC"
"421","GO:0032587",0.362989932335154,1,2,2,"ruffle membrane","CC"
"604","GO:0061702",0.363936597489403,1,2,2,"canonical inflammasome complex","CC"
"653","GO:0072559",0.363936597489403,1,2,2,"NLRP3 inflammasome complex","CC"
"183","GO:0005879",0.364136708132036,0.912032059629753,4,5,"axonemal microtubule","CC"
"82","GO:0002177",0.364418283722729,1,2,2,"manchette","CC"
"411","GO:0032420",0.364708784214344,0.911803588425861,4,5,"stereocilium","CC"
"412","GO:0032421",0.364708784214344,0.911803588425861,4,5,"stereocilium bundle","CC"
"632","GO:0070852",0.366440525027487,1,2,2,"cell body fiber","CC"
"554","GO:0044304",0.368127077450871,1,2,2,"main axon","CC"
"462","GO:0035098",0.369662597874429,1,2,2,"ESC/E(Z) complex","CC"
"796","GO:0150005",0.373508056648549,1,2,2,"enzyme activator complex","CC"
"811","GO:1902773",0.373508056648549,1,2,2,"GTPase activator complex","CC"
"858","GO:1990877",0.373508056648549,1,2,2,"FNIP-folliculin RagC/D GAP","CC"
"663","GO:0090575",0.376559946265727,0.803368187419177,10,15,"RNA polymerase II transcription regulator complex","CC"
"457","GO:0034707",0.377040117618894,1,2,2,"chloride channel complex","CC"
"71","GO:0001750",0.377117977938651,0.906771145963718,4,5,"photoreceptor outer segment","CC"
"211","GO:0008305",0.378498228147311,1,2,2,"integrin complex","CC"
"837","GO:1990351",0.379176241225718,0.835431865958552,7,10,"transporter complex","CC"
"635","GO:0071005",0.379980812429582,0.864965761543307,5,7,"U2-type precatalytic spliceosome","CC"
"639","GO:0071011",0.379980812429582,0.864965761543307,5,7,"precatalytic spliceosome","CC"
"490","GO:0036477",0.38385215228559,0.733345792093797,26,41,"somatodendritic compartment","CC"
"808","GO:1902554",0.388355240571161,0.860287853766911,5,7,"serine/threonine protein kinase complex","CC"
"485","GO:0036126",0.388522897185055,0.860193417525869,5,7,"sperm flagellum","CC"
"10","GO:0000152",0.389455716988604,0.859667421974476,5,7,"nuclear ubiquitin ligase complex","CC"
"496","GO:0042555",0.389967204509395,1,2,2,"MCM complex","CC"
"806","GO:1902494",0.396261659833925,0.676351871807385,75,124,"catalytic complex","CC"
"78","GO:0002139",0.397719548486692,1,2,2,"stereocilia coupling link","CC"
"268","GO:0019898",0.400192254959464,0.853544073204991,5,7,"extrinsic component of membrane","CC"
"723","GO:0098687",0.400617017040717,0.747980202565831,16,25,"chromosomal region","CC"
"419","GO:0032580",0.401440860374519,0.852823636404501,5,7,"Golgi cisterna membrane","CC"
"250","GO:0016528",0.404534546922459,0.851031076878859,5,7,"sarcoplasm","CC"
"778","GO:0120044",0.406451376149467,1,2,2,"stereocilium base","CC"
"615","GO:0070160",0.411386098769845,0.847022748662693,5,7,"tight junction","CC"
"396","GO:0031981",0.41958788063389,0.632100921918272,197,328,"nuclear lumen","CC"
"23","GO:0000314",0.424594382886944,0.894562418756164,3,4,"organellar small ribosomal subunit","CC"
"136","GO:0005763",0.424594382886944,0.894562418756164,3,4,"mitochondrial small ribosomal subunit","CC"
"574","GO:0045211",0.427365014635293,0.803434939237455,7,10,"postsynaptic membrane","CC"
"493","GO:0042383",0.435319540752966,0.777771011644542,8,12,"sarcolemma","CC"
"171","GO:0005829",0.435669061251538,0.621858863351611,145,242,"cytosol","CC"
"701","GO:0097733",0.436507945883662,0.797073141810599,7,10,"photoreceptor cell cilium","CC"
