"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000040300",27.3111258249694,-0.06620871986483,0.261820424382772,-0.252878361269613,0.800362211333682,0.843040890030237
"ENSRNOG00000061316",3446.65106792617,0.539570270206475,0.0718297719725815,7.51179149520949,5.83236313564131e-14,3.91662135495758e-13
"ENSRNOG00000023659",14.8379473678536,0.122705269996462,0.332684005503071,0.368834293103187,0.71225124183049,0.770812266168566
"ENSRNOG00000029897",23.5113767708053,1.36787172527504,0.338569339845645,4.04015238325673,5.34164835565789e-05,0.000150306451495214
"ENSRNOG00000014303",1071.86352573701,0.246944867927003,0.0599100883144184,4.12192461862172,3.75720156404296e-05,0.000108162099911233
"ENSRNOG00000014330",699.249053429657,-0.0625843482526399,0.0610546974397272,-1.02505377762985,0.305337813637373,0.385626842889156
"ENSRNOG00000049505",388.190815147683,0.500386411389728,0.0883299599050783,5.66496817079343,1.47051830395613e-08,6.32564987725396e-08
"ENSRNOG00000014916",1614.89232533288,0.123585553953294,0.064322326968804,1.92134768403563,0.0546878893299184,0.0867426350001581
"ENSRNOG00000014996",494.73576544801,0.0325028240773069,0.0694661661556872,0.467894312814986,0.639860170713926,0.709492615621055
"ENSRNOG00000015239",1181.20574500937,0.096030916344532,0.0643600066189862,1.49208990783731,0.135675577223984,0.191969977314762
"ENSRNOG00000053710",32.1155064401174,-0.797999413583299,0.342022179998392,-2.33318030306412,0.0196386841757572,0.0347660507613932
"ENSRNOG00000015552",1226.25309277488,0.523685940420475,0.067900540149059,7.71254454339908,1.23333609872469e-14,8.66463975598215e-14
"ENSRNOG00000016054",2468.85877443353,-0.195234857759836,0.0436487129328206,-4.47286631475985,7.71780311224276e-06,2.44159058019706e-05
"ENSRNOG00000016381",528.442798517147,0.416212125421122,0.0701459217462736,5.93351851482703,2.96510544957774e-09,1.36495396144624e-08
"ENSRNOG00000013160",694.051088330514,-0.06257296477545,0.0837859826743879,-0.746819011702988,0.455172817966916,0.537687938098267
"ENSRNOG00000023549",156.711301579089,-0.734125749200162,0.137244365793586,-5.34904106959318,8.84214769014947e-08,3.50321084593704e-07
"ENSRNOG00000031859",95.6187696401237,0.144508257876502,0.209917308371087,0.688405634570372,0.491197376560752,0.572622501535337
"ENSRNOG00000013351",778.075147673934,0.0849483811206925,0.0545157006575437,1.55823698670445,0.119177080186299,0.171990102067711
"ENSRNOG00000014258",509.934467397632,0.964970401864177,0.0867069134574255,11.1291056662742,9.05393135631089e-29,1.35388539406951e-27
