"","x"
"1","ENSRNOG00000014996"
"2","ENSRNOG00000016381"
"3","ENSRNOG00000014258"
"4","ENSRNOG00000014908"
"5","ENSRNOG00000010753"
"6","ENSRNOG00000011411"
"7","ENSRNOG00000011245"
"8","ENSRNOG00000011720"
"9","ENSRNOG00000054246"
"10","ENSRNOG00000014004"
"11","ENSRNOG00000023387"
"12","ENSRNOG00000012775"
"13","ENSRNOG00000015810"
"14","ENSRNOG00000016103"
"15","ENSRNOG00000017930"
"16","ENSRNOG00000049394"
"17","ENSRNOG00000017150"
"18","ENSRNOG00000017826"
"19","ENSRNOG00000019489"
"20","ENSRNOG00000016728"
"21","ENSRNOG00000017114"
"22","ENSRNOG00000018158"
"23","ENSRNOG00000018207"
"24","ENSRNOG00000018524"
"25","ENSRNOG00000024140"
"26","ENSRNOG00000010529"
"27","ENSRNOG00000015597"
"28","ENSRNOG00000001489"
"29","ENSRNOG00000048190"
"30","ENSRNOG00000051570"
"31","ENSRNOG00000052600"
"32","ENSRNOG00000048095"
"33","ENSRNOG00000047206"
"34","ENSRNOG00000047986"
"35","ENSRNOG00000051483"
"36","ENSRNOG00000060587"
"37","ENSRNOG00000052256"
"38","ENSRNOG00000014252"
"39","ENSRNOG00000014353"
"40","ENSRNOG00000014984"
"41","ENSRNOG00000025890"
"42","ENSRNOG00000017069"
"43","ENSRNOG00000046000"
"44","ENSRNOG00000018556"
"45","ENSRNOG00000018730"
"46","ENSRNOG00000054609"
"47","ENSRNOG00000019915"
"48","ENSRNOG00000050758"
"49","ENSRNOG00000020947"
"50","ENSRNOG00000001500"
"51","ENSRNOG00000018408"
"52","ENSRNOG00000018885"
"53","ENSRNOG00000019883"
"54","ENSRNOG00000019838"
"55","ENSRNOG00000058388"
"56","ENSRNOG00000037638"
"57","ENSRNOG00000019949"
"58","ENSRNOG00000020703"
"59","ENSRNOG00000020807"
"60","ENSRNOG00000012140"
"61","ENSRNOG00000059386"
"62","ENSRNOG00000027646"
"63","ENSRNOG00000020191"
"64","ENSRNOG00000043388"
"65","ENSRNOG00000037247"
"66","ENSRNOG00000020543"
"67","ENSRNOG00000020793"
"68","ENSRNOG00000020812"
"69","ENSRNOG00000020876"
"70","ENSRNOG00000021032"
"71","ENSRNOG00000014277"
"72","ENSRNOG00000022537"
"73","ENSRNOG00000014829"
"74","ENSRNOG00000016090"
"75","ENSRNOG00000013877"
"76","ENSRNOG00000012874"
"77","ENSRNOG00000032798"
"78","ENSRNOG00000016689"
"79","ENSRNOG00000015520"
"80","ENSRNOG00000014589"
"81","ENSRNOG00000013553"
"82","ENSRNOG00000052273"
"83","ENSRNOG00000025142"
"84","ENSRNOG00000012349"
"85","ENSRNOG00000012683"
"86","ENSRNOG00000047630"
"87","ENSRNOG00000047110"
"88","ENSRNOG00000017383"
"89","ENSRNOG00000022748"
"90","ENSRNOG00000018987"
"91","ENSRNOG00000049878"
"92","ENSRNOG00000012383"
"93","ENSRNOG00000014251"
"94","ENSRNOG00000019693"
"95","ENSRNOG00000019936"
"96","ENSRNOG00000018020"
"97","ENSRNOG00000013591"
"98","ENSRNOG00000039241"
"99","ENSRNOG00000020477"
"100","ENSRNOG00000048270"
"101","ENSRNOG00000050445"
"102","ENSRNOG00000042084"
"103","ENSRNOG00000014673"
"104","ENSRNOG00000014513"
"105","ENSRNOG00000014037"
"106","ENSRNOG00000014565"
"107","ENSRNOG00000015218"
