Identifier	Database
ENSRNOG00000018770	Ensembl
ENSRNOG00000012944	Ensembl
ENSRNOG00000006304	Ensembl
ENSRNOG00000000485	Ensembl
ENSRNOG00000008145	Ensembl
ENSRNOG00000008144	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000019142	Ensembl
ENSRNOG00000010602	Ensembl
ENSRNOG00000008548	Ensembl
ENSRNOG00000028629	Ensembl
ENSRNOG00000050198	Ensembl
ENSRNOG00000011517	Ensembl
ENSRNOG00000021147	Ensembl
ENSRNOG00000007390	Ensembl
ENSRNOG00000007372	Ensembl
ENSRNOG00000017787	Ensembl
ENSRNOG00000009824	Ensembl
ENSRNOG00000020063	Ensembl
ENSRNOG00000000838	Ensembl
ENSRNOG00000033697	Ensembl
ENSRNOG00000005082	Ensembl
ENSRNOG00000010475	Ensembl
ENSRNOG00000000562	Ensembl
ENSRNOG00000031312	Ensembl
ENSRNOG00000014187	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000022485	Ensembl
ENSRNOG00000020876	Ensembl
ENSRNOG00000008022	Ensembl
ENSRNOG00000016575	Ensembl
ENSRNOG00000005731	Ensembl
ENSRNOG00000012439	Ensembl
ENSRNOG00000021814	Ensembl
ENSRNOG00000002079	Ensembl
ENSRNOG00000048914	Ensembl
ENSRNOG00000019073	Ensembl
ENSRNOG00000007437	Ensembl
ENSRNOG00000013603	Ensembl
ENSRNOG00000033924	Ensembl
ENSRNOG00000020063	Ensembl
ENSRNOG00000043388	Ensembl
ENSRNOG00000016707	Ensembl
ENSRNOG00000024707	Ensembl
ENSRNOG00000005263	Ensembl
ENSRNOG00000056216	Ensembl
ENSRNOG00000004500	Ensembl
ENSRNOG00000000837	Ensembl
ENSRNOG00000020369	Ensembl
ENSRNOG00000008507	Ensembl
ENSRNOG00000060936	Ensembl
ENSRNOG00000018214	Ensembl
ENSRNOG00000006238	Ensembl
ENSRNOG00000012473	Ensembl
ENSRNOG00000015732	Ensembl
ENSRNOG00000018903	Ensembl
ENSRNOG00000015179	Ensembl
ENSRNOG00000050819	Ensembl
ENSRNOG00000004517	Ensembl
ENSRNOG00000038483	Ensembl
ENSRNOG00000026293	Ensembl
ENSRNOG00000009820	Ensembl
ENSRNOG00000025030	Ensembl
ENSRNOG00000015179	Ensembl
ENSRNOG00000002791	Ensembl
ENSRNOG00000031312	Ensembl
ENSRNOG00000017414	Ensembl
ENSRNOG00000030888	Ensembl
ENSRNOG00000018503	Ensembl
ENSRNOG00000061070	Ensembl
ENSRNOG00000019907	Ensembl
ENSRNOG00000010756	Ensembl
ENSRNOG00000003834	Ensembl
ENSRNOG00000017787	Ensembl
ENSRNOG00000012331	Ensembl
ENSRNOG00000006967	Ensembl
ENSRNOG00000021147	Ensembl
ENSRNOG00000007390	Ensembl
ENSRNOG00000002978	Ensembl
ENSRNOG00000013269	Ensembl
ENSRNOG00000019907	Ensembl
ENSRNOG00000047692	Ensembl
ENSRNOG00000023258	Ensembl
ENSRNOG00000047035	Ensembl
ENSRNOG00000009508	Ensembl
ENSRNOG00000016551	Ensembl
ENSRNOG00000013177	Ensembl
ENSRNOG00000001924	Ensembl
