UniqueCount	AmbigCount
59773	4
69567	5
320980	27
123594	12
34986	11
143334	24
101842	14
9889	0
5368	4994
85500	41
52290	2
123	1
101979	2
8	157
17	132
7	163
0	0
2	0
2	0
0	176
0	179
2	109
15	184
113	939
369	802
0	633
594	0
2	0
368	418
98	418
3	60
0	0
0	0
0	0
8	2
0	2
0	0
1	2
0	0
0	0
0	2
0	0
57	147
1939	0
2	0
2	711
0	286
1	338
9	9
1	2
0	9
1	1
0	1
0	685
0	686
854	243
1	8
1	0
0	134
3	101
6	28
4	1
0	2
470	118
0	118
319	846
140	721
0	239
394	70
0	57
0	70
3	106
2	102
1	100
0	48
0	33
0	39
4	735
0	746
3	0
0	0
0	0
0	0
0	1
0	0
0	4
0	1
0	6
0	886
7	0
15	0
3	0
0	868
9	886
29	2
1	2
121	333
0	270
0	4
0	332
2	147
226	147
0	822
26	833
0	142
778	142
0	32
1	33
0	23
2	32
0	37
2	4
0	32
0	0
0	0
9	163
54	156
4	25
156	0
45	70
0	0
0	70
8	307
8	63
81	326
757	597
18	185
1	593
59	0
1	0
506	557
0	557
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	142
0	0
0	12
143	459
0	333
0	97
0	459
378	98
0	98
0	627
2	83
0	416
61	663
156	54
9	53
0	243
3	214
0	211
0	1
0	0
0	1
93	0
0	0
0	17
0	0
0	17
1274	378
5	378
10	563
62	576
2	3
0	0
204	1049
37	1049
3	30
1	10
1	10
1	42
56	0
266	32
0	11
0	2
0	21
0	0
0	0
0	0
0	0
0	0
7	656
200	674
11	170
3	25
1	5
10	856
8	97
24	760
265	428
112	0
1176	0
61	1271
46	1271
13	603
17	450
23	318
31	121
9	204
11	481
0	0
0	0
0	0
0	0
31	6121
104	5727
1	672
0	240
0	0
5	454
1	0
15	692
2	0
8	6351
46	228
353	160
13	388
0	0
0	0
9	33
828	317
7	289
37	311
5	2
0	0
0	0
0	0
0	64
0	64
94	136
15	136
2316	0
0	1
0	30
0	3
0	38
0	37
278	83
1	56
0	53
0	103
0	47
0	87
1	0
0	0
17	0
2	21
3	13
0	10
0	2
458	699
9	474
11	179
4	342
2	602
6	230
16	2317
0	2654
13206	7242
0	184
0	0
0	0
11	2248
34	1755
113	2187
0	1329
105	134
0	0
0	0
0	774
84	510
0	1071
1	1278
5	315
24	359
1	345
314	2429
13	2429
9	1636
58	1636
0	2794
1	51
0	1979
11	1702
87	13
2	13
7	26
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	22
20258	160
13	160
101	1290
34	0
0	1290
234	255
0	253
0	0
0	0
806	0
0	0
39	184
8	350
0	21
7	55
0	51
0	340
20	638
167	638
68	967
28	1000
59	1000
61	53
0	53
214	0
0	0
0	104
36	104
1295	441
0	51
0	166
0	232
5	2
28	96
34	465
1149	0
398	4
0	4
3	258
0	260
4	25
1	54
0	29
18	217
10	0
7	4021
166	4041
12	3811
7	998
23	855
7	905
3	662
3	47
2	92
182	1103
2	558
10	558
12	37
2	560
180	197
400	357
70	160
0	0
2683	2366
58	1021
142	1550
2856	391
14	354
0	19
0	17
13	0
0	0
507	4704
64	4704
6	2140
0	42
0	10
2	41
0	13
0	417
0	39
511	417
9	112
0	110
0	1006
33	1088
0	1
0	1
0	0
0	1
0	1193
0	1302
64	1044
616	24
114	30
9	7
37	100
1	0
0	100
0	0
7	93
0	93
0	67
0	0
23	1397
7	806
44	765
42	185
0	1156
116	668
161	399
0	20
0	59
44	151
0	391
73	374
155	374
605	1
11	282
8	472
0	307
295	391
63	462
4	462
0	0
17	2794
667	0
433	269
3	269
1063	305
0	305
0	0
0	0
29	1
731	0
3183	0
104	156
0	5
34	20
0	14
0	156
3896	163
4	153
1	153
1	34
507	35
432	17878
47	14719
1	8258
0	0
0	0
0	0
0	0
195	745
13	744
1020	2492
0	0
562	330
1	332
2	323
27	188
168	0
0	27
3	27
0	27
0	27
0	0
0	0
541	2918
64	2918
15	62
2	2
0	4
0	5
0	1
0	1
3	1
0	4
0	521
3	1
111	521
0	0
11	0
1679	442
17	441
9	0
21	39
2	995
3	6
0	39
0	985
0	0
0	99
0	100
1	37
21	98
0	97
0	0
7	0
0	22
0	58
0	2
2	65
0	0
63	0
0	1
1	1
10	456
0	65
0	231
8	185
0	456
0	0
0	22
0	23
1	40
2	46
0	0
0	0
1	98
232	101
0	0
667	0
659	0
0	45
38	84
28	82
13	1101
24	201
0	87
0	68
18	1101
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
587	129
3	0
41	763
7	41
0	0
0	0
44	997
0	595
0	94
0	122
252	989
73	124
0	112
1633	4715
69	2504
22	3618
54	96
30	0
2	766
977	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
364	913
6	110
0	913
0	0
0	0
0	0
0	0
8	66
275	66
517	0
0	72
1	69
5	2
0	65
1	70
252	821
12	152
13	688
5	88
4	364
6	189
27	0
136	0
50	1044
2737	1142
15	373
0	0
96	0
0	0
0	0
0	0
5	49
16	16
0	47
0	0
311	1065
0	518
97	1583
0	984
36	984
30	375
0	34
35	54
12	429
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	340
0	16
2	328
2	0
73	42
1	42
55	1970
0	2189
10	1295
5	0
23	8
0	2195
0	1
0	1
0	0
27	1901
0	2109
245	465
785	513
1	7
0	7
0	0
0	0
0	0
0	0
267	145
0	0
2	0
762	65
1	65
336	1345
146	1345
344	79
0	10
4	69
0	0
29	260
0	260
0	169
0	29
0	22
0	0
1273	19
9	94
27	0
0	4
0	10
2	10
7	5
474	231
0	204
1769	0
0	0
0	0
770	205
146	4
1	201
0	0
0	9
0	7
0	9
0	0
0	3
6084	756
2	0
3	756
18	379
24	379
0	0
0	0
0	0
921	1
1	25
263	1784
6	1784
1	33
0	191
0	0
0	0
428	255
0	255
0	0
139	0
676	0
13	0
222	215
47	206
19	127
0	489
32	798
0	20
0	20
53	20
0	0
1005	721
11	721
287	28
0	9
0	0
0	19
0	0
0	830
1	246
7	0
0	788
1769	130
2	130
239	0
10	0
0	0
0	0
7	0
0	0
120	0
0	527
1	0
0	33
3	554
0	68
0	293
0	0
0	0
0	1
156	296
110	0
50	5684
0	2334
321	5201
2	4553
0	0
2	2354
10	253
14	33
21	0
1	611
110	5864
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
1	17
4	17
445	0
206	112
0	112
1199	452
0	199
0	253
984	197
3	104
4	191
5	0
0	0
0	1135
0	1135
0	981
0	410
25	1002
0	1078
26	1314
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	1239
0	247
0	1126
0	62
1	55
2	57
1214	0
21	112
0	110
14	140
40	30
122	30
11347	1461
10	719
2	239
12	25
6	1
2	1
0	1
0	0
0	0
17	361
7	62
0	361
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
69	633
0	426
1	23
0	32
3	36
0	0
47	3
11	1
0	352
19	1
0	1
0	0
0	2
0	4
0	2
1	4
1004	0
1758	1
0	1256
114	177
78	276
1	22
3	48
4	211
1	47
0	12
0	53
0	12
96	0
0	165
6	120
254	285
3839	1962
0	1962
2860	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	575
0	340
0	0
234	251
4	0
1	67
0	214
0	64
3	58
42	146
0	158
0	122
2	0
253	2055
98	4757
1516	4474
0	62
0	0
0	0
0	1
48	63
2	11
1	11
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
124	1348
0	1348
0	0
2061	234
0	234
1	1880
1	5
0	39
81	1880
418	56
0	56
0	0
361	54
6	0
0	54
0	0
28	914
352	914
16	2106
0	20288
0	497
359	20326
4	16260
180	343
2	343
405	742
0	741
0	0
0	0
32	171
0	0
7	951
22	1015
43	905
2	39
0	0
0	0
0	4
0	8
0	4
0	4
1	0
0	0
0	0
17	956
9	956
0	14
0	14
0	13
0	0
0	4
311	915
2	915
307	0
43	0
0	6
37	123
2	123
0	0
0	0
0	0
551	0
1	0
9369	0
0	0
0	0
30	200
55	208
20	47
20	1038
0	1038
177	545
0	159
5	98
1	136
0	107
0	98
0	18
12	486
17	0
0	0
0	0
1	0
467	1034
84	201
22	1235
0	0
0	0
1340	74
0	37
5	37
0	1
3	30
1	31
0	26
0	3
0	15
0	4
0	15
0	0
0	0
0	0
0	0
0	0
5	34
0	34
0	0
0	0
0	0
0	0
0	0
0	0
2479	1398
144	1395
0	839
1	1207
0	1268
34	229
0	143
0	1163
2	1268
17	6
1	6
407	5
753	425
31	425
0	1
1	8
0	8
1	1
0	1
0	0
0	5
0	1
0	5
0	219
0	5
5	78
36	302
0	0
0	0
0	0
0	0
0	0
239	730
150	114
0	114
844	264
2	0
6	102
0	232
155	201
6	54
15	3462
0	742
0	3
127	530
5	530
8	0
28	1171
18	982
3	112
0	0
0	1137
2550	472
2	88
1	18
6	374
0	18
0	1
0	370
1	348
15	62
0	5
35	373
8	121
12	793
31	793
198	34
2	524
2	31
1	158
0	163
0	573
0	557
0	0
752	55
16	75
1	3462
130	22
0	22
0	0
674	79
1	21
0	58
207	0
0	0
0	0
0	0
0	0
0	0
0	173
38	263
0	263
0	5
3	2103
11	2103
0	0
10	9
0	9
132	183
5	41
0	75
3	149
2709	0
187	0
426	22
2	22
9	2808
197	2808
147	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3839	0
0	0
92	1073
1	8
30	1063
0	0
0	1
0	1
0	2
0	19
0	0
0	21
13	185
0	4
3	9
12	553
4	47
0	176
0	350
2	446
6	0
0	0
0	0
212	1147
703	1198
9	181
2	129
0	2
0	2
12	82
0	553
0	112
0	97
0	127
3	142
13	35
3	12
0	15
9	19
7	0
2	3
3	2
0	21
0	19
6	19
0	107
0	0
0	14
2	14
0	492
0	449
2	61
0	56
0	89
41	997
0	212
0	0
2736	457
0	457
8	0
0	0
0	0
0	0
0	0
5	300
4	7
2	24
9	29
0	10
0	3
47	312
0	23
894	23
124	1135
0	1658
1	1659
349	5554
68	3509
10	360
30	1619
0	109
1	1312
0	1432
4	2036
0	3392
1	5543
4	0
244	0
0	0
0	0
59	1177
5	29
0	155
4	39
0	0
39	155
803	74
1	74
351	66
22	436
1	425
0	0
395	0
0	112
0	0
0	0
1	14
0	22
145	20
36	21
9	0
0	608
89	182
53	790
257	0
1	78
3	60
204	857
18	705
0	177
7	773
0	0
0	0
0	0
0	0
0	0
196	0
3	12
0	353
96	21
579	5
25	5
270	386
30	0
7	550
23	550
4	162
0	0
0	0
0	0
0	8
2	8
0	6
231	4034
1352	4034
1	0
0	384
64	384
0	2
0	2
624	0
0	0
0	0
219	63
0	63
220	0
46	27
0	27
22	71
1	24
5	333
0	10
129	333
8	1281
3	1281
617	262
145	4222
5	2380
1889	3581
0	964
4	11
0	38
5	729
0	0
0	0
0	0
6	3
0	3
2	25
0	13
0	25
801	16
17	16
69	261
6	37
532	79
0	79
16	261
0	6
215	904
0	262
0	162
6	911
5	893
1	893
344	532
0	532
0	572
0	507
41	34
1	4
0	4
5	60
0	60
0	0
0	0
0	0
3012	2078
2	55
0	7
20	7
53	376
2	0
3	0
1	376
1	63
0	63
0	0
0	0
0	0
152	422
0	332
2	21
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	1582
0	1379
1754	0
54	73
10	67
0	29
0	5
0	3
0	5
16	577
260	1063
0	177
51	486
10	97
42	7108
1609	7108
24	407
0	16
341	407
1	0
0	0
0	296
2	288
9	263
0	0
2	64
84	132
2	132
72	0
0	152
18	152
31	433
244	571
16	596
31	1207
19	4029
0	5289
33	5023
106	712
52	712
0	0
0	0
0	0
0	1388
4	334
0	271
117	189
0	189
0	0
5	3
0	0
169	1702
47	1702
922	0
5395	952
0	919
3	30
0	0
0	0
0	0
0	0
0	0
62	84
5	3
0	26
0	43
11	45
2	31
1	84
0	9
227	858
79	316
3	1174
0	1578
1	126
0	969
5	1578
0	1334
1	1292
0	1357
1	930
25	0
7	18
0	0
0	0
198	12
0	12
35	3214
3	3271
1	659
17	417
0	3095
1	2907
668	0
0	0
1	24159
1	1029
5	1388
7	6
0	0
5	6
0	0
0	3
3415	12
17	12
0	0
0	0
0	0
1405	24474
12	24172
3	22929
10	19461
19	23
2	4519
4	17
5	0
0	0
0	35
0	35
73	0
12	2045
0	2045
0	0
26	0
0	1726
0	119
7	1128
1	1713
0	1271
0	0
905	0
34	1245
55	1245
29	8
119	1928
1	19
0	6
0	27
0	121
1	243
60	1920
1469	635
2	542
10	637
1	0
0	0
61	1585
0	1382
0	0
0	0
492	134
11	134
432	0
0	0
0	424
94	734
34	645
1	3
9	13
0	226
0	0
15	280
1091	804
2	670
37	724
78	185
0	185
0	2034
82	2256
1	1830
0	2
16	352
4	1228
14	0
0	430
0	2
0	2
2	1
0	1
0	0
0	0
0	0
0	0
0	0
720	129
0	129
0	0
0	0
1	1
21	634
1	978
3	42
8	1000
4	0
11	250
1	356
77	171
1	9
0	314
0	0
0	0
2	300
7	316
20	315
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
62	68
6	0
0	4
0	67
7	52
0	0
0	0
0	0
0	0
0	0
0	56
0	145
19	201
0	0
0	0
0	539
0	886
100	1425
0	342
0	230
0	344
0	388
9	362
2	17
0	8
0	262
233	115
0	34
57	62
3	33
56	79
0	96
13	175
0	0
0	0
432	0
0	0
0	0
0	156
0	0
0	156
13	0
0	0
0	0
0	0
0	0
0	1
1	384
0	622
209	620
0	0
0	0
0	0
0	0
0	1
0	372
0	92
1	72
0	32
1	23
27	373
0	64
0	64
0	0
2	0
0	0
18	217
0	23
336	240
0	604
0	675
0	0
2	560
32	952
28	80
3	82
5	26
5	77
20	89
7	5
1	47
0	11
81	154
14	104
4	14
3	140
323	0
3085	294
2	21
3	268
0	1168
0	1110
0	1075
0	1172
2	229
266	229
0	0
0	0
0	1
0	0
0	0
0	1
3	3
0	3
150	0
0	14
15	48
214	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
77	79
0	79
0	0
0	0
0	0
0	0
0	0
36	631
1	631
0	0
0	0
52	1
0	0
0	29
0	0
0	15
0	0
1121	0
0	0
31	792
0	2
2	792
366	185
2	185
0	0
0	0
1370	217
9	26
5	54
3	149
0	0
0	0
3606	3576
2	3108
5	5
1	494
1	105
1148	56
1	5
4	51
0	0
0	0
0	0
0	0
1960	2
0	0
0	0
136	1241
1	0
6	98
10	52
68	34
229	0
10	85
0	32
8	32
0	57
5	57
10	237
3	237
0	1
0	1
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
34	312
1	1041
0	88
10	84
2	15
4	750
970	120
2	108
1	0
0	0
0	303
0	574
0	95
0	3
30	684
0	0
0	0
0	0
33	150
0	143
0	2
0	14
1	129
0	124
0	111
160	111
1	0
0	0
1	9
0	9
0	2
4	5
256	23
0	15
616	28
18	215
651	215
0	1
0	3
0	4
14	325
5	325
0	0
0	0
0	0
0	0
0	0
0	0
0	0
218	3868
1	5282
1	5386
0	0
11	2813
272	6215
9	1030
1	6119
0	976
0	205
0	0
0	0
0	0
12	620
0	780
0	597
0	481
0	562
221	562
10	798
0	0
0	0
0	0
12	4
0	4
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
431	0
0	1
0	1
0	1
541	0
3110	0
0	1
8	4
10	222
10	215
10	11
0	4
1	7
13	422
1	81
362	107
1	36
0	71
1	18
10	1828
0	1295
105	1860
322	9352
95	8584
0	1337
0	6570
0	0
1732	17848
48	0
0	0
23	135
0	135
0	0
0	0
6	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
