,GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue
ENSRNOG00000040300,ENSRNOG00000040300.4,1185,120093164,LOC120093164,XM_039098412,-0.0650939646535413,0.403820801537873,0.833052360640004
ENSRNOG00000061316,ENSRNOG00000061316.1,6104,NA,NA,NA,0.5403706025601,7.27698606553612,3.85066283235165e-14
ENSRNOG00000023659,ENSRNOG00000023659.4,900,292461,Raet1l,NM_001013063,0.122515753185905,-0.388419414396433,0.747607107619158
ENSRNOG00000029897,ENSRNOG00000029897.3,1036,NA,NA,NA,1.36195029408786,0.182391407691029,7.16404140291364e-05
ENSRNOG00000014303,ENSRNOG00000014303.6,3269,292462,Lrp11,NM_001106217,0.24754602484505,5.59382977437921,6.0785475195365e-05
ENSRNOG00000014330,ENSRNOG00000014330.7,855,25604,Pcmt1,NM_001398561,-0.0618434844885408,4.97922908242097,0.325796305859473
ENSRNOG00000049505,ENSRNOG00000049505.2,1844,683983,Nup43,NM_001128191,0.500874192823325,4.13214744702392,1.74459097856662e-08
ENSRNOG00000014916,ENSRNOG00000014916.7,7087,308265,Lats1,NM_001134543,0.124417057253966,6.18388678731649,0.0537761762224203
ENSRNOG00000014996,ENSRNOG00000014996.6,2134,292464,Katna1,NM_001004217,0.0331926732784637,4.4819037526515,0.656448919418349
ENSRNOG00000015239,ENSRNOG00000015239.7,1248,361448,Ginm1,NM_001400838,0.0969529513432394,5.73337397680198,0.135291995059579
ENSRNOG00000053710,ENSRNOG00000053710.1,360,NA,NA,NA,-0.794133260690212,0.591070440299659,0.0231769966084441
ENSRNOG00000015552,ENSRNOG00000015552.7,2944,361449,Ppil4,NM_001108457,0.524440690493629,5.78692619449396,9.67603397475029e-15
ENSRNOG00000016054,ENSRNOG00000016054.7,4574,308267,Tab2,NM_001012062,-0.194495975485899,6.79594862913156,0.000113393213889158
ENSRNOG00000016381,ENSRNOG00000016381.5,2038,361450,Ust,NM_001108458,0.416874959375728,4.57535119826186,5.13220081507142e-09
ENSRNOG00000013160,ENSRNOG00000013160.4,6507,365037,Sash1,NM_001427579,-0.0618523380329294,4.96830361575825,0.456685714182247
ENSRNOG00000023549,ENSRNOG00000023549.4,2490,365038,Samd5,NM_001108901,-0.732504549809036,2.83233925117872,9.05674078835731e-08
ENSRNOG00000031859,ENSRNOG00000031859.4,462,499133,Rpl27al3,XM_039100866,0.145101245863065,2.13940538222112,0.499494575308041
ENSRNOG00000013351,ENSRNOG00000013351.8,6991,81022,Stxbp5,NM_030843,0.0856052150075295,5.13292977857963,0.140107914537086
ENSRNOG00000014258,ENSRNOG00000014258.4,3231,365042,Rab32,NM_001108902,0.96563792056142,4.52408001400016,6.10562915971506e-29
ENSRNOG00000014290,ENSRNOG00000014290.7,6899,24414,Grm1,NM_001114330,1.12698566382467,-0.408944497753758,9.3069320559734e-05
ENSRNOG00000014431,ENSRNOG00000014431.2,561,498977,Dctn3l1,NM_001408768,0.0414606157061688,0.701596159447774,0.881519501988857
ENSRNOG00000014450,ENSRNOG00000014450.7,6999,308282,Shprh,NM_001107470,0.192208172507356,5.6793842935179,0.00268946913940717
ENSRNOG00000014852,ENSRNOG00000014852.5,3206,308283,Fbxo30,NM_001007690,-0.0471595571916219,6.23644348703745,0.474053650136798
ENSRNOG00000040242,ENSRNOG00000040242.4,1143,114005,Epm2a,NM_001276762,0.385492508667799,-0.500208189522606,0.285167733077787
