,GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue
1,ENSRNOG00000040300.4,1185,120093164,LOC120093164,XM_039098412,0.724024791509838,0.403820801537873,0.00390089789606662
2,ENSRNOG00000061316.1,6104,NA,NA,NA,0.218436929471241,7.27698606553612,0.0022118958515259
3,ENSRNOG00000023659.4,900,292461,Raet1l,NM_001013063,0.879867178480278,-0.388419414396433,0.00365940454233203
4,ENSRNOG00000029897.3,1036,NA,NA,NA,-0.550143914231818,0.182391407691029,0.147482064559327
5,ENSRNOG00000014303.6,3269,292462,Lrp11,NM_001106217,0.0738871740752992,5.59382977437921,0.22926440897465
6,ENSRNOG00000014330.7,855,25604,Pcmt1,NM_001398561,0.0568095366254886,4.97922908242097,0.354569623028418
7,ENSRNOG00000049505.2,1844,683983,Nup43,NM_001128191,0.10759511857984,4.13214744702392,0.23001358308671
8,ENSRNOG00000014916.7,7087,308265,Lats1,NM_001134543,-0.103075032246708,6.18388678731649,0.113083561546981
9,ENSRNOG00000014996.6,2134,292464,Katna1,NM_001004217,0.00604335297915075,4.4819037526515,0.938618664357913
10,ENSRNOG00000015239.7,1248,361448,Ginm1,NM_001400838,-0.0027706853427919,5.73337397680198,0.973355303214983
11,ENSRNOG00000053710.1,360,NA,NA,NA,-0.572730214891572,0.591070440299659,0.0989223105188707
12,ENSRNOG00000015552.7,2944,361449,Ppil4,NM_001108457,-0.0890769716694993,5.78692619449396,0.195652600624421
13,ENSRNOG00000016054.7,4574,308267,Tab2,NM_001012062,-0.145960175888623,6.79594862913156,0.00372687366187933
14,ENSRNOG00000016381.5,2038,361450,Ust,NM_001108458,-0.114360527150689,4.57535119826186,0.119925673168642
15,ENSRNOG00000013160.4,6507,365037,Sash1,NM_001427579,-0.0218573202298695,4.96830361575825,0.798353923387414
16,ENSRNOG00000023549.4,2490,365038,Samd5,NM_001108901,-0.221470582697051,2.83233925117872,0.0972828816983296
17,ENSRNOG00000031859.4,462,499133,Rpl27al3,XM_039100866,-0.331818896502722,2.13940538222112,0.124848024352458
18,ENSRNOG00000013351.8,6991,81022,Stxbp5,NM_030843,0.0400771990061259,5.13292977857963,0.48748283678615
19,ENSRNOG00000014258.4,3231,365042,Rab32,NM_001108902,0.288097817362928,4.52408001400016,0.0010933095105087
20,ENSRNOG00000014290.7,6899,24414,Grm1,NM_001114330,0.176203086903466,-0.408944497753758,0.626616780590386
