"",GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue,padj
ENSRNOG00000061316,ENSRNOG00000061316.1,6104,,,,0.5403706025601,7.27698606553612,3.85066283235165e-14,2.72236560467737e-13
ENSRNOG00000029897,ENSRNOG00000029897.3,1036,,,,1.36195029408786,0.182391407691029,0.0000716404140291364,0.000200853933286137
ENSRNOG00000014303,ENSRNOG00000014303.6,3269,292462,Lrp11,NM_001106217,0.24754602484505,5.59382977437921,0.000060785475195365,0.000172478474848248
ENSRNOG00000049505,ENSRNOG00000049505.2,1844,683983,Nup43,NM_001128191,0.500874192823325,4.13214744702392,1.74459097856662e-8,7.62756522448678e-8
ENSRNOG00000053710,ENSRNOG00000053710.1,360,,,,-0.794133260690212,0.591070440299659,0.0231769966084441,0.0407050773979565
ENSRNOG00000015552,ENSRNOG00000015552.7,2944,361449,Ppil4,NM_001108457,0.524440690493629,5.78692619449396,9.67603397475029e-15,7.13378597539946e-14
ENSRNOG00000016054,ENSRNOG00000016054.7,4574,308267,Tab2,NM_001012062,-0.194495975485899,6.79594862913156,0.000113393213889158,0.000308372600502018
ENSRNOG00000016381,ENSRNOG00000016381.5,2038,361450,Ust,NM_001108458,0.416874959375728,4.57535119826186,5.13220081507142e-9,2.39169183529916e-8
ENSRNOG00000023549,ENSRNOG00000023549.4,2490,365038,Samd5,NM_001108901,-0.732504549809036,2.83233925117872,9.05674078835731e-8,3.65965183007245e-7
ENSRNOG00000014258,ENSRNOG00000014258.4,3231,365042,Rab32,NM_001108902,0.96563792056142,4.52408001400016,6.10562915971506e-29,9.8428421709639e-28
ENSRNOG00000014290,ENSRNOG00000014290.7,6899,24414,Grm1,NM_001114330,1.12698566382467,-0.408944497753758,0.000093069320559734,0.000256065302687071
ENSRNOG00000014450,ENSRNOG00000014450.7,6999,308282,Shprh,NM_001107470,0.192208172507356,5.6793842935179,0.00268946913940717,0.00579347423069313
ENSRNOG00000011058,ENSRNOG00000011058.7,12734,25600,Utrn,NM_013070,0.378781298620251,8.11900146546809,2.71124057687557e-10,1.40781420815741e-9
ENSRNOG00000014902,ENSRNOG00000014902.4,1951,292483,Stx11,NM_001025638,0.757621953398768,4.67219355117919,7.263896362969e-22,8.10842666475058e-21
ENSRNOG00000025587,ENSRNOG00000025587.4,4642,25157,Plagl1,NM_012760,1.30643924411287,8.38405393658347,3.1577081497746e-27,4.70736191273925e-26
ENSRNOG00000015217,ENSRNOG00000015217.6,1889,361452,Ltv1,NM_001014157,0.180462267573751,5.81532896788836,0.00149264698565699,0.00337036772135969
ENSRNOG00000015473,ENSRNOG00000015473.7,1979,308291,Phactr2,NM_214458,0.6359984316195,3.71100907759142,4.51361951787866e-11,2.53244925114811e-10
ENSRNOG00000015551,ENSRNOG00000015551.4,1651,292485,Fuca2,NM_001004218,-0.910064540901975,0.614765810536377,0.000443955738436245,0.00109286263453127
ENSRNOG00000011015,ENSRNOG00000011015.6,9395,29721,Hivep2,NM_024137,0.51323606132572,5.31634293653207,1.30111960705917e-17,1.15410890801461e-16
ENSRNOG00000011411,ENSRNOG00000011411.7,6855,308376,Adgrg6,NM_001427850,0.62588011329469,4.59369556475964,8.74489374096563e-18,7.81684118792698e-17
ENSRNOG00000051831,ENSRNOG00000051831.1,153,,,,2.57127465371939,2.71519745203659,1.37412326216031e-68,7.1351479050901e-67
ENSRNOG00000047746,ENSRNOG00000047746.1,1140,,,,0.630605436114214,6.9059281408092,6.4121861441569e-6,0.0000208878168944059
ENSRNOG00000053888,ENSRNOG00000053888.1,153,,,,2.37027414236168,2.37939277373823,8.63330613299781e-41,2.09252021377415e-39
ENSRNOG00000055836,ENSRNOG00000055836.1,49,,,,0.715907700048026,3.29672217972921,2.20799948074348e-6,7.62813476227951e-6
ENSRNOG00000060657,ENSRNOG00000060657.1,49,,,,0.948487820742497,2.95111299763028,1.15879409266497e-9,5.72745857422715e-9
ENSRNOG00000051450,ENSRNOG00000051450.1,793,685045,Abracl,NM_001099647,-0.189403543712995,6.59385897318222,0.00253911424418388,0.00550207563009774
ENSRNOG00000060603,ENSRNOG00000060603.1,5545,308631,Nhsl1,NM_001427846,1.33434321853404,6.68229924175755,9.0188340482246e-66,4.35669391096118e-64
ENSRNOG00000053735,ENSRNOG00000053735.1,1144,308632,Hebp2,NM_001107515,-0.622932825499202,2.99154006482289,2.05595829037999e-8,8.91579785355901e-8
ENSRNOG00000012074,ENSRNOG00000012074.6,1894,116465,Ifngr1,NM_053783,-0.196331052973585,5.61546851101984,0.000354794812419617,0.000888043921174502
ENSRNOG00000031700,ENSRNOG00000031700.6,4137,365057,Map3k5,NM_001277694,-0.294462497445978,3.60748368612144,0.000302680027242352,0.00076617781590067
ENSRNOG00000013969,ENSRNOG00000013969.6,3141,308923,Ahi1,NM_001002277,0.468327974998071,5.58665490408555,7.45980450774075e-14,5.18409672658234e-13
ENSRNOG00000014531,ENSRNOG00000014531.7,2694,293408,Hbs1l,NM_001011934,-0.455026838064126,5.88557922451192,2.17962990354639e-17,1.88746964289614e-16
ENSRNOG00000014979,ENSRNOG00000014979.7,2196,498985,Themis,NM_001432406,0.668627663035676,1.98624855228276,0.0000116308025370776,0.0000364652750732798
ENSRNOG00000047605,ENSRNOG00000047605.2,4464,,,,0.178927961770751,4.83200893448883,0.00766923826535845,0.0150220852374865
ENSRNOG00000046617,ENSRNOG00000046617.2,423,,,,0.58450195295696,2.60318517802362,3.1549432955921e-6,0.0000106735319302315
ENSRNOG00000011245,ENSRNOG00000011245.6,2285,293947,Arhgap18,NM_001106354,-2.09321649797496,4.98469621074147,1.64255167735824e-186,5.55422840363284e-184
ENSRNOG00000011720,ENSRNOG00000011720.7,2744,309550,L3mbtl3,NM_001107612,0.478591830722127,4.66481154732483,2.97381877551643e-10,1.54055099234486e-9
ENSRNOG00000012346,ENSRNOG00000012346.8,2996,309557,Epb41l2,NM_001400827,0.540245319219336,6.65334888137606,2.32645289269518e-25,3.15905415321509e-24
ENSRNOG00000013202,ENSRNOG00000013202.7,1059,361458,Akap7,NM_001001801,0.978152245625128,3.35782767639695,7.68618261072361e-33,1.42081647620096e-31
ENSRNOG00000055111,ENSRNOG00000055111.1,1484,,,,-0.640740767210392,5.30562653324296,1.48639666259703e-15,1.14996670369672e-14
ENSRNOG00000013422,ENSRNOG00000013422.7,4727,309565,Med23,NM_001277054,0.245393539793985,5.5833512228163,0.000106169181254299,0.000289864026961325
ENSRNOG00000013791,ENSRNOG00000013791.5,2770,54410,Enpp3,NM_019370,0.283385369709478,4.94769412641288,6.86236086324514e-6,0.0000222653337252587
ENSRNOG00000013994,ENSRNOG00000013994.6,4098,85496,Enpp1,NM_053535,-1.05556343832497,7.17151413654006,3.40458883045148e-65,1.62203503592369e-63
ENSRNOG00000015036,ENSRNOG00000015036.6,2712,64032,Ccn2,NM_022266,-0.391139882787181,10.5538712824092,3.84740961868292e-13,2.53760642023882e-12
ENSRNOG00000048072,ENSRNOG00000048072.1,1077,,,,1.11233911275631,-0.680370472416201,0.00433968456879933,0.0089906435836572
ENSRNOG00000016371,ENSRNOG00000016371.7,2509,309570,Slc18b1,NM_001400828,0.199602778679504,3.03141583096001,0.0229669523380907,0.0403873449030047
ENSRNOG00000016411,ENSRNOG00000016411.4,543,65139,Rps12,NM_031709,-0.191484784244668,9.27944188629272,0.000566916315417201,0.00137191967131159
ENSRNOG00000016627,ENSRNOG00000016627.7,1770,292172,Eya4,NM_001271317,0.689252956320597,4.78654028805905,3.96493705289946e-22,4.50203827202278e-21
ENSRNOG00000011161,ENSRNOG00000011161.5,4118,308028,Slc2a12,NM_001107451,-0.351235037160155,3.03001191428545,0.00259172831864713,0.00560644740360802
ENSRNOG00000011815,ENSRNOG00000011815.8,3657,29517,Sgk1,NM_001193568,-1.07281757239263,3.13238561637419,1.10422179412933e-22,1.30733825395466e-21
ENSRNOG00000052999,ENSRNOG00000052999.1,315,,,,0.244363602390614,2.99454129653117,0.0210174325163179,0.0372336148734685
ENSRNOG00000048976,ENSRNOG00000048976.3,720,,,,0.58783582812288,2.12580439611278,0.000183137032850155,0.000481603153155263
ENSRNOG00000048796,ENSRNOG00000048796.2,399,,,,0.256121120806567,3.91131340340724,0.00146095173027152,0.00330687914914031
ENSRNOG00000054246,ENSRNOG00000054246.1,315,,,,0.396064815175373,4.59789598262282,7.08414347143112e-7,2.59620843478512e-6
ENSRNOG00000013323,ENSRNOG00000013323.6,1223,292188,Rnf217,NM_001106204,-0.293604923752869,3.66506516435225,0.000209427146977922,0.000545155457322928
ENSRNOG00000021442,ENSRNOG00000021442.6,1329,361462,Hddc2,NM_001108460,-0.326810734674117,3.82138131445227,5.89652914025379e-6,0.0000193033010626868
ENSRNOG00000013364,ENSRNOG00000013364.6,2673,155430,Hey2,NM_130417,-1.7248996775612,1.0483903862015,8.42951711809517e-15,6.22957491072876e-14
