,X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000005574,3.3697491667885,2.94476702737349,2.24911668420841,2.8412739572811,2.68131337702564,3.63961671399448,90.3150414059904,101.32076500138,91.3147388486577,95.0243502138908,106.904004223651,98.5811687277718
ENSRNOG00000017197,7.17903083359289,8.83430108212046,7.04440319959616,8.90265839948077,6.34233741104143,8.68245914904707,107.960455207433,101.473433155576,108.405065655032,94.6727337468644,76.9870059742174,89.9477873524272
ENSRNOG00000058609,26.6649716676307,28.2876105356786,28.0078681429727,28.1286121770829,26.194369144789,28.0206636173792,170.272102088628,188.850506740393,188.575747121431,185.785350765086,196.341497493292,176.532571494691
ENSRNOG00000018646,24.2231244453202,23.4242831722891,22.7033476613491,28.0339030451735,24.9568398938541,24.0740912769033,138.747812930599,133.177519843602,150.361610053163,139.85544975976,154.153155650527,135.624398117332
ENSRNOG00000011407,23.1975486119498,23.4242831722891,23.5945071022618,25.3820473517111,20.8833061095267,22.583163948279,119.874180071052,107.681938092878,115.806715707428,108.869248603056,109.815089382653,111.12968816868
ENSRNOG00000018598,240.766136119816,232.056565293477,263.910503001738,227.917525939899,236.935287835247,250.738896031572,1090.94510804416,1060.94189289241,1175.61488922097,1114.49234429863,1175.09311387523,1156.92329837394
ENSRNOG00000009951,43.1230219460036,43.2791517659437,44.2609188986674,44.9868376569507,42.9010140324103,44.2016102133306,138.584050389518,146.408759873918,146.078632775653,137.482038607331,143.852392780213,138.937207249731
ENSRNOG00000013707,4.00462944458923,3.79250298979919,3.22514845282716,4.45132919974039,3.19695056491519,3.37651189129608,42.9876670336763,44.5282116404861,40.5427460735161,38.8096675480414,37.6201774394081,38.0973050225961
ENSRNOG00000014686,15.8231700005721,10.8867144648353,12.5186683366317,14.3010789183149,13.4065668851282,14.4269144446287,91.3385572877446,89.9724322061479,91.6473972779789,87.7283085230926,81.0177392712968,81.0634355882645
ENSRNOG00000043866,163.359579172573,145.676732490522,169.787091575809,170.807919398549,164.075753186454,154.574083335308,965.953348564341,822.932240500915,1161.64323518948,918.378259814639,824.867176284546,900.933501779417
ENSRNOG00000002053,2.8813797223264,3.79250298979919,3.31002078053314,2.60450112750767,3.60946031522683,2.54334661941783,31.3195859816784,31.3478609949022,30.8540693195374,34.9858384691291,32.872869333959,28.309459858688
ENSRNOG00000013166,7.56972638916257,7.31729988620079,6.45029690565432,5.63519334860751,7.27048434924261,9.0332655793116,63.0076376807884,61.8306024493607,68.4860541364933,54.6763606226088,62.4763661047314,60.0823110830666
ENSRNOG00000024602,45.6137061127603,56.5306033891244,54.2334174041198,55.5469058648455,54.8122330726588,59.1985851071391,211.540262440957,204.269990314184,215.47949759278,209.78317463964,200.954447822172,185.165952870036
ENSRNOG00000014361,13.6743444449388,12.6268040719196,12.7308491558967,11.6492232248525,11.2924544147811,13.4621967614013,59.1182773301224,59.7441376753494,61.7497209427398,63.5986284734043,59.0278498394523,51.5493178632493
ENSRNOG00000025184,56.943877224281,53.6750717262167,52.2813538668823,55.168069337208,59.7107863576095,59.0231818920069,204.621295080299,233.938501612931,197.308030891112,190.6200771867,223.392196509247,193.146811234453
ENSRNOG00000017939,30.4254163899889,25.9228733773333,28.1776127983846,27.4182936877626,24.7505850186982,28.546873262776,85.6887496204614,83.7639272688459,95.5561338225025,89.3105826247115,87.6012703231932,82.217899376828
ENSRNOG00000027839,40.1439683347847,43.6807109060401,40.2719194964865,46.4074746355913,47.0776752543156,48.8059446105525,159.586596283114,135.823767849666,152.981295184067,141.437723861379,141.837026131673,135.473815884041
ENSRNOG00000027954,0.879065000031783,1.51700119591968,1.18821258788369,2.13095546796082,1.5984752824576,1.49092732862425,22.2307649517012,20.9664265095775,21.0406456545632,24.0417759329317,25.0353323674156,21.3324830495433
ENSRNOG00000001518,38.0928166680439,39.6205018228433,36.3253562581585,33.9058692235544,39.5493723111282,40.47429189177,120.856755317536,126.511010443713,119.590705340956,133.086832769501,136.059641739193,128.597227230423
ENSRNOG00000020369,88.1506847254093,72.9499104508432,71.1230106176094,79.2241888421879,71.8798239918028,74.0201567858155,477.736272967589,508.842957935109,447.924575080938,390.997511333382,335.491368093579,376.706553616052
ENSRNOG00000030478,78.773991391737,70.3174671991002,72.3112232054931,87.6533015821219,70.8485496160237,66.6532217502604,395.650299250902,356.429250662817,464.26642042134,380.668777614481,321.025514149616,378.46334633778
ENSRNOG00000005998,28.5207755565867,35.0248805528513,31.6573782343297,31.9169774534577,32.6913977121973,34.2474777545746,123.026608986855,108.445278863858,125.162734032085,131.504558667882,142.060955759289,120.967727410351
ENSRNOG00000019184,113.00868944853,103.289934369237,103.92616527597,89.9263207479467,104.932167735523,106.338199173935,325.109584680403,341.671329090541,314.237468797498,303.181298693533,315.248129757135,288.766529374171
ENSRNOG00000004281,35.3579477790561,34.7125567772208,39.0412707447498,34.8056059766934,39.4978085923393,45.4294327192564,125.892453455766,135.823767849666,128.281406806971,123.856900510058,121.549001869707,119.863457699551
ENSRNOG00000006526,145.192235838583,121.672419449205,122.38589655202,112.277675878558,126.485802189306,116.862392081871,505.821548762924,636.982428690245,508.302080002729,522.458117942886,495.108406657925,481.662370219805
ENSRNOG00000005615,37.6044472235818,37.3003823467308,36.6648455689824,35.1370879383762,32.7429614309862,37.5801388420876,107.673870760542,96.5880522213059,100.670757173315,100.430453394422,100.186115395186,92.3571030850815
