"","GeneID","Length","EntrezGene","Symbol","RefSeq","logFC","logCPM","PValue","FDR"
"ENSRNOG00000005574","ENSRNOG00000005574.7",3023,"300475","Adamts8","NM_001106811",5.03862887239472,5.11458278495398,0,0
"ENSRNOG00000017197","ENSRNOG00000017197.7",2185,"24628","Pdgfb","NM_031524",3.62138812730626,5.25210087421545,0,0
"ENSRNOG00000058609","ENSRNOG00000058609.1",1662,"310811","Palmd","NM_001025688",2.74148453941512,6.34067905292451,0,0
"ENSRNOG00000018646","ENSRNOG00000018646.6",2305,"25433","Hbegf","NM_012945",2.53178812035594,6.00143553857299,0,0
"ENSRNOG00000011407","ENSRNOG00000011407.6",4759,"306506","Prag1","NM_001107315",2.27451253730132,5.73165130467711,0,0
"ENSRNOG00000018598","ENSRNOG00000018598.6",1770,"27064","Ankrd1","NM_013220",2.22148419546012,9.15945992363982,0,0
"ENSRNOG00000009951","ENSRNOG00000009951.5",3070,"362107","Aif1l","NM_001108578",1.69561394118836,6.33192770772675,1.84812566808522e-271,1.16465519374243e-268
"ENSRNOG00000013707","ENSRNOG00000013707.7",7655,"305938","Spata13","NM_001191686",3.45916318681382,4.04305956422185,3.7410140143499e-264,2.25501818673682e-261
"ENSRNOG00000014686","ENSRNOG00000014686.8",6818,"65195","Kcnd3","NM_001270962",2.68497790176014,5.21521221044203,7.59513430294833e-261,4.38745591566982e-258
"ENSRNOG00000043866","ENSRNOG00000043866.1",1571,NA,NA,NA,2.53063318779497,8.75201236313887,8.7304519774474e-242,4.32282093626181e-239
"ENSRNOG00000002053","ENSRNOG00000002053.7",11571,"289486","Fras1","NM_001191595",3.33831089025591,3.64069187720333,1.71489824272821e-233,8.19839628868409e-231
"ENSRNOG00000013166","ENSRNOG00000013166.5",5823,"84426","Wnt4","NM_053402",3.09661021898475,4.71216140793399,3.66189899895416e-231,1.69228559071668e-228
"ENSRNOG00000024602","ENSRNOG00000024602.6",4568,"499249","Plekha7","NM_001144861",1.91230020705796,6.71204770122433,3.63329064111216e-216,1.5264224681327e-213
"ENSRNOG00000014361","ENSRNOG00000014361.2",1390,"24323","Edn1","NM_012548",2.23240145988146,4.90666204483107,3.03612355044742e-208,1.23802402657068e-205
"ENSRNOG00000025184","ENSRNOG00000025184.4",3126,"315866","Prss35","NM_001008560",1.88404707032505,6.73569857709432,3.61828477835836e-204,1.39344167131001e-201
"ENSRNOG00000017939","ENSRNOG00000017939.6",3031,"84030","Chn1","NM_001399177",1.66514516853828,5.62441364643853,4.76743527618911e-191,1.65239306672715e-188
"ENSRNOG00000027839","ENSRNOG00000027839.6",3933,"50646","Ptk2b","NM_017318",1.7033349093294,6.30735258020378,4.43566988840111e-181,1.3665806073954e-178
"ENSRNOG00000027954","ENSRNOG00000027954.5",2763,"361432","Cdh15","NM_207613",3.93205381419716,3.1056590679449,5.46548387324786e-180,1.64724931345018e-177
"ENSRNOG00000001518","ENSRNOG00000001518.7",5964,"114517","Itga6","NM_053725",1.74581940448902,6.13396006223929,4.72333001298504e-178,1.36425515208385e-175
"ENSRNOG00000020369","ENSRNOG00000020369.7",5641,"24483","Igf2","NM_001190162",2.47223352125101,7.56048158725881,1.52062998714778e-175,4.13372826310134e-173
"ENSRNOG00000030478","ENSRNOG00000030478.3",958,NA,NA,NA,2.3627016017273,7.49252598250727,2.52634475328366e-173,6.73562378067782e-171
"ENSRNOG00000005998","ENSRNOG00000005998.7",1722,"314280","Smoc1","NM_001002835",1.95228502606065,5.91906178075294,1.04106898757478e-172,2.72327932900693e-170
"ENSRNOG00000019184","ENSRNOG00000019184.5",2043,"25339","Npr3","NM_012868",1.60336800316002,7.43621448668256,2.4525403973865e-165,6.18218546715754e-163
"ENSRNOG00000004281","ENSRNOG00000004281.7",5496,"305497","Cobl","NM_001107236",1.72187670841484,6.11597209014616,3.39140129518573e-165,8.39614063508124e-163
"ENSRNOG00000006526","ENSRNOG00000006526.7",5081,"296787","Sema3c","NM_001106578",2.08047535196756,8.09278586380529,4.01072424299005e-162,9.75520717628318e-160
"ENSRNOG00000005615","ENSRNOG00000005615.6",1241,"25112","Gadd45a","NM_024127",1.46158303249144,5.91380928629477,1.7858429817195e-161,4.26878053423433e-159
"ENSRNOG00000014886","ENSRNOG00000014886.5",3147,"498796","Fam107b","NM_001025034",1.7158758306961,5.4378485293699,1.46860841563067e-158,3.33783394660716e-156
"ENSRNOG00000018644","ENSRNOG00000018644.5",4658,"117100","Slc6a7","NM_053996",2.15789613481673,3.83894351677622,3.95825851014002e-153,8.31474181584564e-151
"ENSRNOG00000016374","ENSRNOG00000016374.8",4772,"25022","Fgfr2","NM_001109892",1.2847628363318,5.80710712888187,2.6753265710408e-152,5.53592948968801e-150
"ENSRNOG00000019598","ENSRNOG00000019598.8",3546,"83785","Vegfa","NM_001110333",1.86134036297781,7.00509514486407,2.29286458170743e-150,4.60699631315823e-148
"ENSRNOG00000007202","ENSRNOG00000007202.7",4955,"246262","Sema3d","NM_001104633",2.03146315798194,7.59872662437751,4.80652872255199e-149,9.51967345849439e-147
