,GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue
1,ENSRNOG00000040300.4,1185,120093164,LOC120093164,XM_039098412,-0.789170876222193,0.403820801537873,0.00153054127287325
2,ENSRNOG00000061316.1,6104,NA,NA,NA,0.321934380766296,7.27698606553612,6.11555652756036e-06
3,ENSRNOG00000023659.4,900,292461,Raet1l,NM_001013063,-0.757384514485098,-0.388419414396433,0.0119094320109321
4,ENSRNOG00000029897.3,1036,NA,NA,NA,1.91242926479107,0.182391407691029,7.5988096115971e-08
5,ENSRNOG00000014303.6,3269,292462,Lrp11,NM_001106217,0.173659926795196,5.59382977437921,0.00488792380720874
6,ENSRNOG00000014330.7,855,25604,Pcmt1,NM_001398561,-0.118653602460442,4.97922908242097,0.0549395472172259
7,ENSRNOG00000049505.2,1844,683983,Nup43,NM_001128191,0.393285183199383,4.13214744702392,8.60889466914804e-06
8,ENSRNOG00000014916.7,7087,308265,Lats1,NM_001134543,0.227492574508849,6.18388678731649,0.000433509561754862
9,ENSRNOG00000014996.6,2134,292464,Katna1,NM_001004217,0.027149660982635,4.4819037526515,0.716361756145083
10,ENSRNOG00000015239.7,1248,361448,Ginm1,NM_001400838,0.0997240589846342,5.73337397680198,0.125108006482845
11,ENSRNOG00000053710.1,360,NA,NA,NA,-0.221505845675494,0.591070440299659,0.54587099973241
12,ENSRNOG00000015552.7,2944,361449,Ppil4,NM_001108457,0.613519880941095,5.78692619449396,1.39562725524428e-19
13,ENSRNOG00000016054.7,4574,308267,Tab2,NM_001012062,-0.0485361159911952,6.79594862913156,0.335272281089623
14,ENSRNOG00000016381.5,2038,361450,Ust,NM_001108458,0.531239700589222,4.57535119826186,1.05638875964884e-13
15,ENSRNOG00000013160.4,6507,365037,Sash1,NM_001427579,-0.039995430177696,4.96830361575825,0.626644561879286
16,ENSRNOG00000023549.4,2490,365038,Samd5,NM_001108901,-0.511057911593392,2.83233925117872,0.000202556930454765
17,ENSRNOG00000031859.4,462,499133,Rpl27al3,XM_039100866,0.476932882803823,2.13940538222112,0.0261393551424171
18,ENSRNOG00000013351.8,6991,81022,Stxbp5,NM_030843,0.0455285059361158,5.13292977857963,0.434358959626086
19,ENSRNOG00000014258.4,3231,365042,Rab32,NM_001108902,0.677548976839861,4.52408001400016,1.89705011171978e-15
20,ENSRNOG00000014290.7,6899,24414,Grm1,NM_001114330,0.951145114122633,-0.408944497753758,0.000776296453659552
21,ENSRNOG00000014431.2,561,498977,Dctn3l1,NM_001408768,0.104846370063101,0.701596159447774,0.658537446702126
22,ENSRNOG00000014450.7,6999,308282,Shprh,NM_001107470,0.190812383953511,5.6793842935179,0.00289092408300925
23,ENSRNOG00000014852.5,3206,308283,Fbxo30,NM_001007690,-0.162344143115632,6.23644348703745,0.0129625503609721
24,ENSRNOG00000040242.4,1143,114005,Epm2a,NM_001276762,0.627421058412293,-0.500208189522606,0.0856851413869996
25,ENSRNOG00000011058.7,12734,25600,Utrn,NM_013070,0.488385917434473,8.11900146546809,4.11702999353805e-16
26,ENSRNOG00000014902.4,1951,292483,Stx11,NM_001025638,0.741023117562571,4.67219355117919,2.98330912679696e-21
27,ENSRNOG00000014908.5,712,680891,Sf3b5,NM_001126092,0.0593721115737111,4.72480809262169,0.435251456946745
28,ENSRNOG00000025587.4,4642,25157,Plagl1,NM_012760,2.03079561114046,8.38405393658347,9.90353657055526e-61
29,ENSRNOG00000015217.6,1889,361452,Ltv1,NM_001014157,0.269452404776868,5.81532896788836,2.03071901159977e-06
30,ENSRNOG00000015473.7,1979,308291,Phactr2,NM_214458,0.595223175555662,3.71100907759142,5.45233094274949e-10
31,ENSRNOG00000015551.4,1651,292485,Fuca2,NM_001004218,-0.945663367991089,0.614765810536377,0.000229370644832307
32,ENSRNOG00000015660.4,1969,83519,Pex3,NM_031350,0.0961930815292697,3.80849622139878,0.354747415056036
33,ENSRNOG00000046983.2,567,361453,Adat2,NM_001115028,-0.185895084099842,1.49774974842535,0.277690611997178
34,ENSRNOG00000010753.6,1420,292486,Aig1,NM_001134425,0.130175265467679,4.32009132231011,0.0858502417129488
35,ENSRNOG00000011015.6,9395,29721,Hivep2,NM_024137,0.519616487541747,5.31634293653207,3.78815005367763e-18
36,ENSRNOG00000011399.5,759,100912436,C1h3orf38,XM_039095487,0.0377100763047538,2.07225561085697,0.794457643673346
37,ENSRNOG00000011411.7,6855,308376,Adgrg6,NM_001427850,0.356428495888063,4.59369556475964,7.51248604667916e-07
38,ENSRNOG00000011540.8,1380,292640,Vta1,NM_001025640,-0.0106739352371277,5.44949561423821,0.881763037161729
39,ENSRNOG00000060990.1,1158,NA,NA,NA,0.0686427431454946,3.30071409765987,0.525020371019679
40,ENSRNOG00000058425.1,4377,NA,NA,NA,0.107682603878407,0.893790161688923,0.66144761963863
41,ENSRNOG00000051831.1,153,NA,NA,NA,2.64316688423806,2.71519745203659,7.77571653911607e-73
42,ENSRNOG00000052007.1,87,NA,NA,NA,-0.477603694220672,0.0127772905508043,0.135222857850852
43,ENSRNOG00000061685.1,87,NA,NA,NA,-0.338901532381506,0.224005799411778,0.214636030548409
44,ENSRNOG00000047746.1,1140,NA,NA,NA,0.64006998239027,6.9059281408092,4.64921200685099e-06
45,ENSRNOG00000053888.1,153,NA,NA,NA,2.52582498646399,2.37939277373823,9.24292227625414e-46
46,ENSRNOG00000055836.1,49,NA,NA,NA,0.495937352113634,3.29672217972921,0.000902164771363178
47,ENSRNOG00000060657.1,49,NA,NA,NA,0.783481589059163,2.95111299763028,3.74010532074901e-07
